frame_id,opencv_index,project_timestamp_s,gt_slant_range_m,gt_azimuth_deg_from_east_ccw,gt_elevation_deg,gt_speed_mps,drone0_visible,box_x1,box_y1,box_x2,box_y2,other_drones_visible_count,confidence,reviewer,notes
1,0,10.5846429508621,5.790098191923194,154.93458499873807,-4.059777450914125,0.0016908401304239096,,,,,,,,,
151,150,15.5897985442332,5.789951853870701,154.9296306290341,-4.06199447389876,0.002558035603451377,,,,,,,,,
301,300,20.5949541376043,5.790061384676318,154.93667470683192,-4.061034572135112,0.0011080056877636577,,,,,,,,,
451,450,25.6001097309754,5.78969507164489,154.93149970955474,-4.061066638960132,0.00074166002357268,,,,,,,,,
601,600,30.6052653243465,5.641468521910577,143.46665447124207,21.909560219355853,1.3267787428560123,,,,,,,,,
751,750,35.6104209177176,9.310628689426993,49.433536319971836,36.88182510771905,2.1649818930523548,,,,,,,,,
901,900,40.6155765110887,17.864986883759133,32.6497939237912,31.714480562491545,1.2704693812484353,,,,,,,,,
1051,1050,45.6207321044598,30.728839354544025,25.670767616508364,22.586757236540585,3.812662230448818,,,,,,,,,
1201,1200,50.6258876978309,51.468802698227215,23.3056840474716,15.075231496812464,2.892225027969351,,,,,,,,,
1351,1350,55.631043291202,61.66086449991818,33.87409318822263,13.456642068654473,4.970598816496998,,,,,,,,,
1501,1500,60.6361988845731,76.80555504941431,53.234842926271,11.504438711666767,5.6255662857911926,,,,,,,,,
1651,1650,65.6413544779442,87.18087988933853,50.998509946443434,10.510576615470875,3.989983679836907,,,,,,,,,
1801,1800,70.6465100713153,85.78221979024848,39.191866337038654,11.242840038166152,5.981048930694196,,,,,,,,,
1951,1950,75.6516656646864,78.11607228572032,15.699806570772566,14.986096477023176,3.817065314140485,,,,,,,,,
2101,2100,80.6568212580575,79.71732372769425,5.209803141696555,19.19748705352639,1.1354285385633685,,,,,,,,,
2251,2250,85.6619768514285,81.62415720103117,12.725213051209433,22.87953889699558,1.3056492644077586,,,,,,,,,
2401,2400,90.6671324447997,87.08751394701771,25.680352893436382,24.856228333758377,4.294673752776762,,,,,,,,,
2551,2550,95.6722880381707,101.26447137955155,35.096914048323065,23.25171191112161,3.4722578482373616,,,,,,,,,
2701,2700,100.677443631542,107.99004682489999,41.51712148081787,22.056824561001307,2.1516728506970306,,,,,,,,,
2851,2850,105.682599224913,98.53508766930861,46.76230538274677,24.81779240904639,3.2655861301601212,,,,,,,,,
3001,3000,110.687754818284,86.02784689624158,54.706646445592796,28.400407589710927,1.0229828920373079,,,,,,,,,
3151,3150,115.692910411655,73.0630645484114,61.482849997885864,33.712218366114136,3.537555527760643,,,,,,,,,
3301,3300,120.698066005026,54.40503552713212,36.749444758805055,47.82265472709839,6.617816650002096,,,,,,,,,
3451,3450,125.703221598397,54.86567544626675,-11.54055231559946,46.89231500766793,4.525875054940517,,,,,,,,,
3601,3600,130.708377191768,70.58564941889401,-12.412672439118705,34.786558242337335,7.251690180811258,,,,,,,,,
3751,3750,135.713532785139,85.15961347726977,-4.387515293920554,28.797896764216787,4.638657708943598,,,,,,,,,
3901,3900,140.718688378511,96.7721245042101,10.378834610981908,25.187353791078426,5.88133381389597,,,,,,,,,
4051,4050,145.723843971882,103.59655093647632,31.894019153008077,23.394445926519815,5.9845313349107165,,,,,,,,,
4201,4200,150.728999565253,106.47867403027642,43.20673100540756,22.197325718208806,1.8862831856586557,,,,,,,,,
4351,4350,155.734155158624,103.86238462754594,45.435597925569276,19.231367820031654,2.095220786680949,,,,,,,,,
4501,4500,160.739310751995,101.77572587737608,45.62016288671406,14.993716334843427,1.1987381114975395,,,,,,,,,
4651,4650,165.744466345366,96.15159360856802,41.07751738395698,14.879902889478343,3.589148950225694,,,,,,,,,
4801,4800,170.749621938737,81.49137676747623,35.15372324134039,17.39964550415167,4.852906515395885,,,,,,,,,
4951,4950,175.754777532108,60.254009751782945,23.166158608012452,23.491782019338913,3.934043387131769,,,,,,,,,
5101,5100,180.759933125479,57.46328871208878,16.879690327044774,29.478955546906647,1.5024457133006734,,,,,,,,,
5251,5250,185.76508871885,61.352280483791326,16.4969818634825,35.83020624268022,1.9679299165329047,,,,,,,,,
