frame_id,opencv_index,project_timestamp_s,gt_slant_range_m,gt_azimuth_deg_from_east_ccw,gt_elevation_deg,gt_speed_mps,drone0_visible,box_x1,box_y1,box_x2,box_y2,other_drones_visible_count,confidence,reviewer,notes
1361,1361,55.9647203640944,62.46821078148826,35.39063900618776,13.34023807193654,5.623010576020569,,,,,,,,,
1383,1383,56.6988098844566,64.4128529727988,38.737828454307035,13.045560109120975,6.826263036043283,,,,,,,,,
1409,1409,57.5663701539732,67.20934120202082,42.91028945893088,12.621116340098077,8.490043894463824,,,,,,,,,
1429,1429,58.233724199755,69.435888192583,45.74209460703986,12.3285266218472,6.553774698255058,,,,,,,,,
1605,1605,64.1064401626458,82.32832519588504,54.00704794251093,10.963763895955584,17.831386000249342,,,,,,,,,
1663,1663,66.0417669254139,87.65987513045532,50.561897070960946,10.464247400441483,9.97694258997409,,,,,,,,,
1778,1778,69.8790529136661,87.45018206395434,41.86090907773853,10.93711477102024,7.817284513506691,,,,,,,,,
1827,1827,71.514070440835,83.64400288796448,35.57351317128368,11.58775462477454,8.934918432217597,,,,,,,,,
1854,1854,72.4149984476418,81.74358619802838,31.621007057456975,12.03791300512853,7.313377895510968,,,,,,,,,
1900,1900,73.9499127629402,79.29497649270299,24.23401585041075,13.207897964064363,8.171244637123367,,,,,,,,,
1922,1922,74.6840022833023,78.58320031358727,20.614842359151208,13.909402588725005,7.270760141866353,,,,,,,,,
1949,1949,75.5849302901091,78.1359028146363,16.09170267536136,14.898443890192164,8.732279232464846,,,,,,,,,
1980,1980,76.6193291460735,78.11784738544736,12.02072988272811,15.813431480120657,6.481209532242491,,,,,,,,,
3909,3909,140.985630076826,97.03075220350496,11.548366312613435,25.121286185275803,9.245557243827363,,,,,,,,,
3935,3935,141.853190346342,97.8870273846783,15.539974306886746,24.904037402871822,9.8852061727964,,,,,,,,,
3966,3966,142.887589202307,98.99038449177043,20.400226034073157,24.65437586124746,9.729160800237421,,,,,,,,,
4937,4937,175.287629710061,61.52849289389637,24.42144007167336,23.061864429102524,6.9591643622516415,,,,,,,,,
